City,Country,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Kiunga,PG,-6.1219,141.2906,86.86,61,59,2.66,1619831275
Ginir,ET,7.1333,40.7,56.46,87,95,3.89,1619831276
Portland,US,45.5234,-122.6762,66.2,59,90,3.44,1619830862
Esperance,AU,-33.8667,121.9,55.4,94,90,6.91,1619831276
Vaini,TO,-21.2,-175.2,78.8,89,75,12.66,1619831277
Puerto Ayora,EC,-0.7393,-90.3518,74.59,82,9,7.49,1619831277
Atuona,PF,-9.8,-139.0333,79.41,68,0,3.47,1619831017
São Filipe,CV,14.8961,-24.4956,72.88,75,11,6.8,1619831277
Poum,NC,-20.2333,164.0167,76.87,67,94,8.99,1619831278
Mangan,IN,27.5167,88.5333,72.9,51,88,2.01,1619831278
Khatanga,RU,71.9667,102.5,33.42,88,100,10.27,1619831278
Cherskiy,RU,68.75,161.3,18.54,81,78,1.95,1619831279
East London,ZA,-33.0153,27.9116,62.53,71,100,12.57,1619831279
Harper,LR,4.375,-7.7169,80.67,78,100,3.27,1619831280
Barrow,US,71.2906,-156.7887,21.2,79,90,4.61,1619831280
Mataura,NZ,-46.1927,168.8643,54.0,74,91,7.0,1619831281
Constitución,CL,-35.3333,-72.4167,56.28,87,100,10.85,1619831281
Butaritari,KI,3.0707,172.7902,83.44,73,25,11.59,1619831281
Bethel,US,41.3712,-73.414,50.0,53,6,3.0,1619831282
Cockburn Town,TC,21.4612,-71.1419,78.8,69,40,8.05,1619831282
Tasiilaq,GL,65.6145,-37.6368,26.6,93,25,6.91,1619831282
Punta Arenas,CL,-53.15,-70.9167,42.8,93,90,4.61,1619831283
Rikitea,PF,-23.1203,-134.9692,79.12,77,47,20.2,1619831283
Forsytheganj,BY,52.6333,29.7333,47.48,90,100,5.19,1619831284
Iralaya,HN,15.0,-83.2333,82.4,78,20,9.22,1619831284
Ushuaia,AR,-54.8,-68.3,37.4,93,20,2.3,1619831193
Wamba,NG,8.9333,8.6,81.03,56,40,0.18,1619831285
Severo-Kuril'sk,RU,50.6789,156.125,35.35,96,100,22.68,1619831285
Kapaa,US,22.0752,-159.319,73.4,88,90,10.36,1619831286
Halifax,CA,44.6453,-63.5724,46.0,93,90,16.11,1619831159
Cape Town,ZA,-33.9258,18.4232,57.99,82,0,9.22,1619831286
Raypur,IN,22.4108,88.5094,80.6,61,20,11.95,1619831286
Teya,RU,60.3778,92.6267,35.2,96,100,10.36,1619831287
Jamestown,US,42.097,-79.2353,41.0,60,90,16.11,1619831287
Hong Kong,HK,22.2855,114.1577,79.0,82,98,1.01,1619831285
Mason City,US,43.1536,-93.201,62.6,16,1,8.05,1619831246
Albany,US,42.6001,-73.9662,46.0,65,62,1.99,1619831213
New Norfolk,AU,-42.7826,147.0587,64.4,48,75,12.66,1619831288
Busselton,AU,-33.65,115.3333,57.99,91,100,3.0,1619831288
Longyearbyen,SJ,78.2186,15.6401,12.2,62,20,17.27,1619831288
Bangassou,CF,4.7413,22.8184,69.28,96,100,3.27,1619831289
Chumikan,RU,54.7183,135.315,31.82,95,100,12.62,1619831289
Goroka,PG,-6.0834,145.3873,73.62,68,50,0.58,1619831290
Lagoa,PT,39.05,-27.9833,59.14,74,100,10.02,1619831290
Onega,RU,63.9061,38.1404,28.9,81,80,6.26,1619831123
Anadyr,RU,64.75,177.4833,21.2,79,90,4.47,1619831291
Grand Gaube,MU,-20.0064,57.6608,78.01,79,100,8.01,1619831291
Maridi,SS,4.9158,29.4742,68.04,89,96,3.98,1619831291
Nyurba,RU,63.2842,118.3319,39.97,82,100,8.46,1619831292
Barkhan,PK,29.8977,69.5256,74.39,33,6,4.18,1619831292
San Matías,BO,-16.3667,-58.4,72.64,48,52,1.43,1619831292
Marathon,US,44.9,-89.7668,55.4,24,1,5.75,1619831293
Kaitangata,NZ,-46.2817,169.8464,57.99,53,100,8.01,1619831293
Peniche,PT,39.3558,-9.3811,55.0,68,11,8.99,1619831294
Avarua,CK,-21.2078,-159.775,82.4,69,75,6.91,1619831294
Saint-Augustin,CA,51.226,-58.6502,40.33,82,100,18.43,1619831294
Ikom,NG,5.9667,8.7063,76.73,92,100,1.52,1619831295
Markova,UA,48.6758,24.4138,50.41,93,95,3.04,1619831295
Salym,RU,60.0625,71.4789,33.87,90,100,9.64,1619831295
São Félix do Xingu,BR,-6.6447,-51.995,71.98,91,80,2.73,1619831296
Mahébourg,MU,-20.4081,57.7,77.0,78,75,13.8,1619831296
Tarazá,CO,7.5836,-75.4007,74.55,95,100,2.75,1619831297
Lagos,NG,6.5833,3.75,80.6,89,20,3.44,1619831003
Yellowknife,CA,62.456,-114.3525,33.01,100,90,5.75,1619831297
Bang Saphan,TH,11.2126,99.5117,84.0,94,75,2.3,1619831298
Byron Bay,AU,-28.65,153.6167,71.6,68,40,12.66,1619831110
Upernavik,GL,72.7868,-56.1549,25.07,79,100,4.92,1619831298
Līsakovsk,KZ,52.5369,62.4936,42.93,57,13,2.57,1619831299
Foz do Iguaçu,BR,-25.5478,-54.5881,66.2,94,0,2.3,1619831299
Port Alfred,ZA,-33.5906,26.891,58.93,84,1,13.2,1619831300
San Patricio,US,28.017,-97.5169,73.99,94,90,13.8,1619831300
Abhā,SA,18.2164,42.5053,64.4,45,20,6.91,1619831301
Nanortalik,GL,60.1432,-45.2371,37.47,72,100,10.96,1619831301
Mossamedes,AO,-15.1961,12.1522,74.98,75,5,5.53,1619831169
Vardø,NO,70.3705,31.1107,32.88,90,100,21.0,1619831302
Bluff,NZ,-46.6,168.3333,54.0,74,76,7.0,1619831302
Puerto Escondido,MX,15.85,-97.0667,82.4,69,75,8.25,1619831302
Ribeira Grande,PT,38.5167,-28.7,59.94,79,100,10.85,1619831303
Fortuna,US,40.5982,-124.1573,57.99,100,40,10.36,1619831303
Taoudenni,ML,22.6783,-3.9836,76.33,54,99,9.24,1619831303
Millinocket,US,45.6573,-68.7098,41.0,87,90,9.22,1619831064
Pyshchug,RU,58.8873,45.7134,46.81,93,100,13.73,1619831304
Airai,TL,-8.9266,125.4092,70.63,52,67,4.09,1619831304
Bengkulu,ID,-3.8004,102.2655,78.17,81,100,3.22,1619831305
Khāsh,IR,28.2211,61.2158,64.58,54,100,1.39,1619831305
Souillac,MU,-20.5167,57.5167,77.0,78,75,13.8,1619831306
Anchorage,US,61.2181,-149.9003,46.4,31,1,10.36,1619831105
Mar del Plata,AR,-38.0023,-57.5575,63.0,77,0,10.36,1619831306
Alugan,PH,12.2188,125.4808,83.43,65,7,5.55,1619831306
Sitka,US,57.0531,-135.33,46.4,81,90,6.91,1619831307
Mandera,KE,3.9366,41.867,83.55,58,99,8.97,1619831307
Carnarvon,AU,-24.8667,113.6333,69.8,46,100,13.8,1619831071
Aswān,EG,24.0934,32.907,84.7,14,0,8.01,1619831308
Los Llanos de Aridane,ES,28.6585,-17.9182,64.4,59,20,12.66,1619831308
Beitbridge,ZW,-22.2167,30.0,67.51,71,1,15.12,1619831308
Kavaratti,IN,10.5669,72.642,83.88,75,20,8.43,1619831308
Nikolskoye,RU,59.7035,30.7861,37.0,80,0,4.47,1619831309
Ayr,GB,55.4627,-4.6339,42.8,70,20,9.22,1619831309
Isangel,VU,-19.55,169.2667,84.2,65,75,5.75,1619831309
Tongi,BD,23.89,90.4058,78.8,78,40,8.05,1619831310
Salalah,OM,17.0151,54.0924,80.6,83,20,5.73,1619831310
Surgut,RU,61.25,73.4167,35.6,93,40,8.95,1619831254
Te Anau,NZ,-45.4167,167.7167,50.94,67,26,1.07,1619831141
Lødingen,NO,68.414,15.9951,27.0,93,75,2.3,1619831311
Russell,US,32.3502,-85.1999,73.4,55,20,6.91,1619831311
Arman',RU,59.7,150.1667,36.52,73,100,3.06,1619831311
Verkhnetulomskiy,RU,68.6073,31.7962,10.4,85,0,2.24,1619831312
Morón,AR,-34.6534,-58.6198,66.0,81,7,4.76,1619831312
Hermanus,ZA,-34.4187,19.2345,52.0,81,0,3.0,1619831258
Hithadhoo,MV,-0.6,73.0833,83.91,72,98,6.73,1619831299
San Juan,AR,-31.5375,-68.5364,67.95,43,0,5.88,1619831313
Cortez,US,37.3489,-108.5859,77.0,12,1,14.97,1619831313
Grand-Santi,GF,4.25,-54.3833,72.63,98,100,3.65,1619831314
Hinatuan,PH,8.3722,126.3342,84.83,65,12,4.05,1619831314
Talnakh,RU,69.4865,88.3972,23.34,81,13,2.77,1619831314
Wau,SS,7.7029,27.9953,77.36,68,99,4.29,1619831314
Ullapool,GB,57.8987,-5.1604,37.0,63,97,3.2,1619831315
Bambanglipuro,ID,-7.95,110.2833,81.01,77,85,4.65,1619831315
Hamilton,US,39.1834,-84.5333,53.6,37,1,12.66,1619831017
George Town,MY,5.4112,100.3354,78.8,94,20,4.61,1619831043
Bredasdorp,ZA,-34.5322,20.0403,41.0,93,0,2.3,1619831316
Saskylakh,RU,71.9167,114.0833,31.95,93,100,7.52,1619831317
Ancud,CL,-41.8697,-73.8203,55.0,100,90,12.66,1619831317
Ruwi,OM,23.5996,58.5507,80.6,54,20,2.3,1619831318
Castro,BR,-24.7911,-50.0119,50.81,95,23,5.95,1619831318
New Iberia,US,30.0035,-91.8187,73.4,88,1,8.05,1619831318
Canguaretama,BR,-6.38,-35.1289,77.0,88,0,8.05,1619831319
Ust'-Ilimsk,RU,58.0006,102.6619,39.78,82,12,8.19,1619831229
Dikson,RU,73.5069,80.5464,18.09,95,100,7.92,1619831319
Dali,CN,25.7,100.1833,63.72,64,100,0.89,1619831320
Nishihara,JP,26.1842,127.7558,78.8,78,75,10.36,1619831320
Cayenne,GF,4.9333,-52.3333,78.01,100,20,1.14,1619831321
Nieuw Amsterdam,SR,5.8833,-55.0833,80.6,78,0,2.3,1619831321
Asău,RO,46.4333,26.4,53.01,58,100,4.81,1619831321
Chui,UY,-33.6971,-53.4616,59.85,93,100,7.9,1619831322
Alofi,NU,-19.0595,-169.9187,77.0,94,100,6.91,1619831322
Kapasan,ID,-6.7773,111.3789,80.76,82,94,3.91,1619831322
College,US,64.8569,-147.8028,37.99,44,75,13.8,1619831323
Yumen,CN,40.2833,97.2,70.36,9,100,3.74,1619831323
Nuuk,GL,64.1835,-51.7216,32.0,100,93,12.66,1619831323
Sergeevka,KZ,53.88,67.4158,39.02,61,6,8.32,1619831324
Codrington,AU,-38.2667,141.9667,69.96,42,100,15.08,1619831324
Cidreira,BR,-30.1811,-50.2056,68.79,71,0,16.96,1619831324
Esso,RU,55.9333,158.7,40.44,89,100,4.68,1619831325
Caravelas,BR,-17.7125,-39.2481,75.87,67,100,13.87,1619831325
Eureka,US,40.8021,-124.1637,57.0,84,100,1.01,1619831190
Hobart,AU,-42.8794,147.3294,64.4,48,75,12.66,1619831219
Huanan,CN,46.2167,130.5167,54.54,43,100,6.38,1619831326
Upata,VE,8.0086,-62.3989,78.01,84,100,1.99,1619831326
Kamenka,RU,51.3223,42.7678,48.99,86,100,13.87,1619831326
Strezhevoy,RU,60.7333,77.5889,35.6,93,75,6.71,1619831327
Hasaki,JP,35.7333,140.8333,69.01,72,75,8.05,1619831327
Waipawa,NZ,-41.4122,175.5153,57.0,67,90,18.41,1619831327
Zapolyarnyy,RU,69.4154,30.8136,21.2,93,75,6.91,1619831328
Solnechnyy,RU,50.7214,136.6319,38.35,66,100,9.22,1619831328
Zonguldak,TR,41.25,31.8333,54.3,77,92,5.3,1619831329
Moranbah,AU,-22.0016,148.0466,73.87,60,15,16.98,1619831329
Lahaina,US,20.8783,-156.6825,80.6,69,40,17.27,1619830860
Dracena,BR,-21.4843,-51.535,66.52,44,100,6.64,1619831330
Bonthe,SL,7.5264,-12.505,79.75,79,15,4.43,1619831330
Bima,ID,-8.4667,118.7167,84.79,72,12,1.12,1619831330
Kaka,TM,37.3482,59.6143,68.31,58,100,5.37,1619831331
Baker City,US,44.7749,-117.8344,69.8,28,1,18.41,1619831116
Lamar,US,33.6668,-95.5836,63.0,88,75,8.05,1619831331
